bucket,client_id,client_business_name,external_business_id,stage,matched_by,sheet_business_name,sheet_record_id,has_signed,signed_utilities,name_collision_count
signed_but_lead_or_qualified,84,AUSTRALIAN STEEL,recpwKT9KMTQ08ovQ,lead,name,AUSTRALIAN STEEL,,yes,C&I Electricity,1
signed_but_lead_or_qualified,92,CALLIPSO PTY LTD,reczFE33vNj0iNCrh,lead,name,CALLIPSO PTY LTD,,yes,C&I Electricity,1
signed_but_lead_or_qualified,120,Centurion Australia Investments Pty Ltd as trustee for Centurion Melbourne Student Village Trust,rec4Ik9aBg8h8fftj,lead,name,Centurion Australia Investments Pty Ltd as trustee for Centurion Melbourne Student Village Trust,,yes,C&I Electricity; C&I Gas,1
signed_but_lead_or_qualified,87,East Malvern RSL Sub-Branch Inc.,recXgs4ArCZ4kAdJe,lead,name,East Malvern RSL Sub-Branch Inc.,,yes,C&I Electricity,1
signed_but_lead_or_qualified,89,Epping RSL Sub-Branch Inc.,rec2VLWKFPxKK8gd0,lead,name,Epping RSL Sub-Branch Inc.,,yes,C&I Electricity,1
signed_but_lead_or_qualified,88,Hampton RSL Sub Branch Inc.,reckGQmBWfHw4ZPyr,lead,name,Hampton RSL Sub Branch Inc.,,yes,C&I Electricity,1
signed_but_lead_or_qualified,106,HEALESVILLE RSL,recHn4ubNpTbTKriT,lead,name,HEALESVILLE RSL,,yes,C&I Electricity,1
signed_but_lead_or_qualified,72,HIGHETT RSL SUB BRANCH INC,recGd0SaMZOkklAbT,lead,name,HIGHETT RSL SUB BRANCH INC,,yes,C&I Electricity,1
signed_but_lead_or_qualified,61,JCS Quality Foods,recCaTFAXXLklAztI,lead,name,JCS Quality Foods,,yes,C&I Electricity; DMA,1
signed_but_lead_or_qualified,101,Keilor East RSL - Sub Branch,recTwhR6WTrRzeiO7,lead,name,Keilor East RSL - Sub Branch,,yes,C&I Electricity,1
signed_but_lead_or_qualified,91,LAKES ENTRANCE RSL SUB-BRANCH INC,recghqVB7Wk7WJLSm,lead,name,LAKES ENTRANCE RSL SUB-BRANCH INC,,yes,C&I Electricity,1
signed_but_lead_or_qualified,90,LEONGATHA RSL SUB-BRANCH INC,recaLxNCxByiF94oE,lead,name,LEONGATHA RSL SUB-BRANCH INC,,yes,C&I Electricity,1
signed_but_lead_or_qualified,123,MATHOURA DISTRICT AND SERVICEMENS BOWLING CLUB LIMITED,rec81r6eJY0LnKzOv,lead,name,MATHOURA DISTRICT AND SERVICEMENS BOWLING CLUB LIMITED,,yes,DMA,1
signed_but_lead_or_qualified,111,Moama Bowling Club ,,lead,name,Moama Bowling Club,,yes,C&I Gas,1
